ID,TITLE_CLEAN,COMPANY_NAME,COMPANY_IS_STAFFING,occupation_group,role_family,posted_date,state,LOCATION,REMOTE_TYPE_NAME,MAX_EDULEVELS_NAME,MIN_EDULEVELS_NAME,min_years_experience,max_years_experience,salary_from_annual,salary_to_annual,salary_midpoint,ORIGINAL_PAY_PERIOD,SKILLS_NAME,SPECIALIZED_SKILLS_NAME,NAICS_2022_4,NAICS_2022_6_NAME
1406,Senior Data Engineer,Neovance LP,0,Database Architects,Data Engineer,2026-05-18,Unspecified,United States,Remote,Master's degree,Associate's degree,,,,,,"","[""Power BI"", ""Microsoft Azure"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Salesforce"", ""Google Cloud Platform (GCP)"", ""Master Data Management"", ""Technical Subject Matter"", ""Operational Excellence""]","[""Power BI"", ""Microsoft Azure"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Salesforce"", ""Google Cloud Platform (GCP)"", ""Master Data Management"", ""Technical Subject Matter"", ""Operational Excellence""]",5415,
1410,"Data Scientist II, Experimentation",Pinterest,0,Data Scientists,Data Scientist,2026-05-18,California,"San Francisco, CA, US; Remote, US",Remote,Doctoral or professional degree,Associate's degree,,,114300.0,235300.0,174800.0,annual,"[""Software Development"", ""Statistical Analysis"", ""Experimental Design"", ""Data Science"", ""Version Control"", ""Control Systems"", ""Workflow Management"", ""Apache Airflow"", ""Data Pipelines"", ""Machine Learning""]","[""Software Development"", ""Statistical Analysis"", ""Experimental Design"", ""Data Science"", ""Version Control"", ""Control Systems"", ""Workflow Management"", ""Apache Airflow"", ""Data Pipelines"", ""Machine Learning""]",5415,
1654,Data Engineer,Northramp,0,Database Architects,Data Engineer,2026-05-22,District of Columbia,"Washington, District of Columbia",Hybrid,Bachelor's degree,Postsecondary nondegree award,,,,,,"","[""SQL (Programming Language)"", ""Python (Programming Language)"", ""Data Build Tool"", ""Cloud Services"", ""Data Pipelines"", ""Program Management"", ""Access Controls"", ""Compliance Requirements"", ""Semi-Structured Data"", ""Apache Airflow""]","[""SQL (Programming Language)"", ""Python (Programming Language)"", ""Data Build Tool"", ""Cloud Services"", ""Data Pipelines"", ""Access Controls"", ""Compliance Requirements"", ""Semi-Structured Data"", ""Apache Airflow""]",5415,
1781,Senior Data Scientist,Pinterest,0,Data Scientists,Data Scientist,2026-05-23,California,"San Francisco, CA, US",Unknown,Doctoral or professional degree,Associate's degree,,1.0,139800.0,287700.0,213750.0,annual,"[""Cross-Functional Collaboration"", ""Data Science"", ""Scientific Methods"", ""Pinterest"", ""Human-In-The-Loop"", ""Rubric"", ""Writing"", ""Tooling""]","[""Cross-Functional Collaboration"", ""Data Science"", ""Scientific Methods"", ""Pinterest"", ""Human-In-The-Loop"", ""Rubric"", ""Tooling""]",5415,
1794,Data Scientist,Davis Polk & Wardwell LLP,0,Data Scientists,Data Scientist,2026-05-23,New York,"New York, New York",Unknown,Master's degree,Bachelor's degree,,,,,,"","[""Python (Programming Language)"", ""Natural Language Processing (NLP)"", ""Named Entity Recognition"", ""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Institutional Knowledge"", ""Knowledge Management"", ""Management Systems"", ""Contract Analysis""]","[""Python (Programming Language)"", ""Natural Language Processing (NLP)"", ""Named Entity Recognition"", ""Data Science"", ""Artificial Intelligence"", ""Machine Learning"", ""Institutional Knowledge"", ""Knowledge Management"", ""Management Systems"", ""Contract Analysis""]",5415,
2019,"Senior Data Scientist, Agentic AI and Machine Learning",MSD,0,Data Scientists,Data Scientist,2026-05-27,California,USA - California - South San Francisco (Grand Ave),Hybrid,Doctoral or professional degree,Associate's degree,,1.0,129000.0,203100.0,166050.0,annual,"[""Python (Programming Language)"", ""Software Development"", ""TensorFlow"", ""Machine Learning Algorithms"", ""Verbal Communication Skills"", ""Machine Learning Methods"", ""Agentic AI"", ""Drug Development"", ""AI Agents"", ""Data Lakes""]","[""Python (Programming Language)"", ""Software Development"", ""TensorFlow"", ""Machine Learning Algorithms"", ""Machine Learning Methods"", ""Agentic AI"", ""Drug Development"", ""AI Agents"", ""Data Lakes""]",5415,
3215,Senior Staff Data Engineer,Faire,0,Database Architects,Data Engineer,2026-05-29,California,"San, Francisco",Unknown,Bachelor's degree,Associate's degree,,1.0,268000.0,368500.0,318250.0,annual,"[""Software Engineering"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Processing Systems"", ""Data Integrity"", ""Technical Leadership"", ""Data Streaming"", ""Data Warehousing"", ""Data Pipelines"", ""Computer Science""]","[""Software Engineering"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Processing Systems"", ""Data Integrity"", ""Technical Leadership"", ""Data Streaming"", ""Data Warehousing"", ""Data Pipelines"", ""Computer Science""]",5415,
3466,Technical Business Analyst - API Integration,Hwkaufman,0,Management Analysts,Business Analyst,2026-05-29,Unspecified,US,Unknown,Bachelor's degree,Bachelor's degree,,1.0,,,,"","[""Software Development Life Cycle"", ""Salesforce"", ""Data Management"", ""Application Development"", ""Technology Solutions"", ""Computer Science"", ""Information Technology"", ""Business Administration"", ""Data Mapping"", ""Business Requirements""]","[""Software Development Life Cycle"", ""Salesforce"", ""Data Management"", ""Application Development"", ""Technology Solutions"", ""Computer Science"", ""Data Mapping"", ""Business Requirements""]",5415,
4362,Senior Analytics Engineer,Rockstargames,0,Data Scientists,Data Engineer,2026-05-29,New York,"New York, New York",Unknown,Bachelor's degree,Associate's degree,5.0,,,,,"","[""Software Development"", ""Github"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Databricks"", ""Root Cause Analysis"", ""Big Data"", ""Data Pipelines"", ""Machine Learning"", ""Data Infrastructure""]","[""Software Development"", ""Github"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Databricks"", ""Root Cause Analysis"", ""Big Data"", ""Data Pipelines"", ""Machine Learning"", ""Data Infrastructure""]",5415,
4829,Staff Data Analyst,Missionlane,0,Database Architects,Data Analyst,2026-05-30,Unspecified,Remote,Remote,Associate's degree,Postsecondary nondegree award,5.0,,,,,"","[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Strategic Decision Making"", ""Business Intelligence"", ""Data Analysis"", ""Data Engineering"", ""Data Management"", ""Data Integrity"", ""Financial Services""]","[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Strategic Decision Making"", ""Business Intelligence"", ""Data Analysis"", ""Data Engineering"", ""Data Management"", ""Data Integrity"", ""Financial Services""]",5415,
4951,Geospatial Data Scientist,Jobs.baesystems.com,0,Data Scientists,Data Scientist,2026-05-30,Virginia,"Sterling, Virginia",Unknown,Bachelor's degree,Bachelor's degree,,1.0,,,,"","[""SQL (Programming Language)"", ""Data Architecture"", ""Data Pipelines""]","[""SQL (Programming Language)"", ""Data Architecture"", ""Data Pipelines""]",5415,
5333,Lead Data Engineer,Mastercard,0,Database Architects,Data Engineer,2026-05-31,Texas,Austin,Unknown,Bachelor's degree,Associate's degree,,1.0,122000.0,207000.0,164500.0,annual,"[""Power BI"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Microsoft Excel"", ""Dispute Resolution"", ""Data Pipelines"", ""Computer Science"", ""Data Science"", ""Data Quality"", ""Data Storytelling""]","[""Power BI"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Dispute Resolution"", ""Data Pipelines"", ""Computer Science"", ""Data Science"", ""Data Quality"", ""Data Storytelling""]",5415,
5612,Senior Data Analyst,StepStone Group,0,Data Scientists,Data Analyst,2026-06-01,Unspecified,"Denver, NORTH AMERICA, United States",Unknown,Master's degree,Associate's degree,,1.0,,,,"","[""Python For Data Analysis"", ""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""A/B Testing"", ""Master Data Management"", ""Market Data"", ""Reporting Solutions"", ""Critical Thinking"", ""Decision Science""]","[""Python For Data Analysis"", ""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""A/B Testing"", ""Master Data Management"", ""Market Data"", ""Reporting Solutions"", ""Decision Science""]",5415,
5619,Lead Data Analyst with P&C Insurance,Derex Technologies Inc,1,Other,Data Analyst,2026-06-01,Ohio,"Cincinnati, OH, United States",On-site,Associate's degree,Associate's degree,,1.0,,,,"","[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Systems Integration"", ""Data Quality"", ""Data Modeling"", ""Quality Management"", ""Analytics"", ""Leadership"", ""Governance""]","[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Systems Integration"", ""Data Quality"", ""Data Modeling"", ""Quality Management"", ""Analytics""]",5415,
5628,"Senior Manager, Data Engineering",Sbdinc,0,Database Architects,Data Engineer,2026-06-01,Maryland,"Towson, MD, United States",Hybrid,Doctoral or professional degree,Associate's degree,7.0,,,,,"","[""Data Engineering"", ""Supply Chain"", ""Data Acquisition"", ""Data Governance"", ""Data Quality"", ""Lifecycle Management"", ""Business Requirements"", ""Data Pipelines"", ""Emerging Technologies"", ""Information Systems""]","[""Data Engineering"", ""Supply Chain"", ""Data Acquisition"", ""Data Governance"", ""Data Quality"", ""Lifecycle Management"", ""Business Requirements"", ""Data Pipelines"", ""Emerging Technologies"", ""Information Systems""]",5415,
5640,Lead Data Engineer,Legend Biotech US,0,Database Architects,Data Engineer,2026-06-01,New Jersey,"Bridgewater, New Jersey, United States",Hybrid,Master's degree,Associate's degree,15.0,,127300.0,167100.0,147200.0,annual,"[""Microsoft Azure"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Strategic Partnership"", ""Information Technology"", ""Data Pipelines"", ""Data Quality"", ""CI/CD"", ""Data Integrity""]","[""Microsoft Azure"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Strategic Partnership"", ""Data Pipelines"", ""Data Quality"", ""CI/CD"", ""Data Integrity""]",5415,
5658,Senior People Data Analyst,Anduril Industries,1,Data Scientists,Data Analyst,2026-06-01,Massachusetts,"Boston, Massachusetts, United States; Costa Mesa, California, United States",Unknown,Bachelor's degree,Associate's degree,5.0,,146000.0,194000.0,170000.0,annual,"[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Python (Programming Language)"", ""Business Intelligence Tools"", ""Verbal Communication Skills"", ""Program Management"", ""Business Operations"", ""Talent Acquisition"", ""Strategic Analysis""]","[""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Python (Programming Language)"", ""Business Intelligence Tools"", ""Business Operations"", ""Talent Acquisition"", ""Strategic Analysis""]",5415,
5672,Senior Data Analyst,StepStone Group,0,Data Scientists,Data Analyst,2026-06-01,Massachusetts,"Newton, MA, United States",Unknown,Master's degree,Associate's degree,,1.0,,,,"","[""Python For Data Analysis"", ""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""A/B Testing"", ""Master Data Management"", ""Market Data"", ""Reporting Solutions"", ""Critical Thinking"", ""Decision Science""]","[""Python For Data Analysis"", ""Power BI"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""A/B Testing"", ""Master Data Management"", ""Market Data"", ""Reporting Solutions"", ""Decision Science""]",5415,
5676,Specialist Solutions Architect - Data Engineering & Observability,Databricks,0,Database Architects,Data Engineer,2026-06-01,Unspecified,United States,Unknown,Bachelor's degree,Associate's degree,5.0,,180000.0,247500.0,213750.0,annual,"[""Spark Streaming"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Data Engineering"", ""Data Warehousing"", ""Data Intelligence"", ""Technical Leadership"", ""Big Data""]","[""Spark Streaming"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Data Engineering"", ""Data Warehousing"", ""Data Intelligence"", ""Technical Leadership"", ""Big Data""]",5415,
5684,Senior AI Data Engineer,"Scorpion Enterprises, LLC",0,Database Architects,Data Engineer,2026-06-01,Unspecified,Remote - United States,Hybrid,Bachelor's degree,Associate's degree,7.0,,,,,"","[""Software Engineering"", ""Apache Spark"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Diversity And Inclusion"", ""Market Dynamics"", ""Email Marketing"", ""Social Media"", ""Lead Management""]","[""Software Engineering"", ""Apache Spark"", ""Databricks"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Diversity And Inclusion"", ""Market Dynamics"", ""Email Marketing"", ""Social Media"", ""Lead Management""]",5415,
7180,"Data Engineer - Oracle, MySQL, OLTP",Careers.pnc.com,0,Database Architects,Data Engineer,2026-06-01,Pennsylvania,"Pittsburgh, Pennsylvania",Unknown,Bachelor's degree,Bachelor's degree,,1.0,,,,"","[""Operational Excellence"", ""Reliability""]","[""Operational Excellence""]",5415,
7320,Senior Data Analyst - Wealth Management,Qodeworld,1,Data Scientists,Data Analyst,2026-06-01,Texas,"Texas, Texas",Hybrid,Master's degree,Associate's degree,,,,,,"","[""Python For Data Analysis"", ""SQL (Programming Language)"", ""Databricks"", ""Wealth Management"", ""Digital Transformation"", ""Data Science"", ""Product Engineering"", ""Business Logic"", ""Management Systems"", ""Data Mapping""]","[""Python For Data Analysis"", ""SQL (Programming Language)"", ""Databricks"", ""Wealth Management"", ""Digital Transformation"", ""Data Science"", ""Product Engineering"", ""Business Logic"", ""Management Systems"", ""Data Mapping""]",5415,
8387,Business Analyst,Endava,0,Management Analysts,Business Analyst,2026-06-01,Tennessee,Tennessee,Hybrid,Master's degree,Associate's degree,,1.0,,,,"","[""SCIM- System For Cross-Domain Identity Management"", ""Verbal Communication Skills"", ""Business Requirements"", ""Design Reviews"", ""Active Directory"", ""Problem Solving"", ""Analytical Skills"", ""Computer Science"", ""Information Technology"", ""Career Development""]","[""SCIM- System For Cross-Domain Identity Management"", ""Business Requirements"", ""Design Reviews"", ""Active Directory"", ""Computer Science"", ""Career Development""]",5415,
8601,Data Engineer I,Teamworks,0,Database Architects,Data Engineer,2026-06-01,Unspecified,United States,Unknown,Bachelor's degree,Associate's degree,2.0,,145000.0,145000.0,145000.0,annual,"[""Software Engineering"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Databricks"", ""Data Pipelines"", ""Product Engineering"", ""Data Engineering"", ""Computer Science"", ""Data Infrastructure"", ""Observability""]","[""Software Engineering"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Databricks"", ""Data Pipelines"", ""Product Engineering"", ""Data Engineering"", ""Computer Science"", ""Data Infrastructure"", ""Observability""]",5415,
8868,Lead Data Engineer,Legendcareers,0,Database Architects,Data Engineer,2026-06-01,New Jersey,"Bridgewater, New Jersey",Hybrid,Master's degree,Associate's degree,15.0,,,,,"","[""Microsoft Azure"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Strategic Partnership"", ""Information Technology"", ""Data Pipelines"", ""Data Quality"", ""CI/CD"", ""Data Integrity""]","[""Microsoft Azure"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Java (Programming Language)"", ""Strategic Partnership"", ""Data Pipelines"", ""Data Quality"", ""CI/CD"", ""Data Integrity""]",5415,
9217,Business Intelligence Developer,W.C. Bradley Co.,0,Other,Business Intelligence,2026-06-02,Georgia,"Columbus, GA, US",Unknown,Master's degree,Postsecondary nondegree award,,,,,,"","[""Microsoft Office 365"", ""Power BI"", ""Microsoft Azure"", ""SAP HANA"", ""Software Development"", ""SQL (Programming Language)"", ""Databricks"", ""Key Performance Indicators (KPIs)"", ""Enterprise Resource Planning"", ""Report Creation""]","[""Microsoft Office 365"", ""Power BI"", ""Microsoft Azure"", ""SAP HANA"", ""Software Development"", ""SQL (Programming Language)"", ""Databricks"", ""Key Performance Indicators (KPIs)"", ""Enterprise Resource Planning"", ""Report Creation""]",5415,
9219,Business Analyst,Nuvitek,0,Management Analysts,Business Analyst,2026-06-02,Unspecified,United States,Unknown,Master's degree,Associate's degree,,,95000.0,105000.0,100000.0,annual,"[""User Acceptance Testing (UAT)"", ""Verbal Communication Skills"", ""IT Service Management"", ""Business Objectives"", ""Analytical Skills"", ""Technical Requirements"", ""Solution Design"", ""Sprint Planning"", ""Information Technology"", ""Stakeholder Engagement""]","[""User Acceptance Testing (UAT)"", ""IT Service Management"", ""Technical Requirements"", ""Solution Design"", ""Sprint Planning"", ""Stakeholder Engagement""]",5415,
9335,Data Engineer,EXL Talent Acquisition Team,0,Database Architects,Data Engineer,2026-06-02,Unspecified,United States,Unknown,Bachelor's degree,Bachelor's degree,,1.0,,,,"","[""Python (Programming Language)"", ""Internal Pay Equity"", ""Web Applications"", ""Data Engineering"", ""Data Pipelines"", ""Data Processing"", ""Compliance Requirements"", ""Data Warehousing"", ""Data Modeling"", ""Computer Science""]","[""Python (Programming Language)"", ""Internal Pay Equity"", ""Web Applications"", ""Data Engineering"", ""Data Pipelines"", ""Data Processing"", ""Compliance Requirements"", ""Data Warehousing"", ""Data Modeling"", ""Computer Science""]",5415,
9352,Data Scientist III,Hagerty,0,Data Scientists,Data Scientist,2026-06-02,Unspecified,United States,Hybrid,Master's degree,Associate's degree,,,,,,"","[""SQL (Programming Language)"", ""Python (Programming Language)"", ""Insurance Products"", ""Data Science"", ""Predictive Modeling"", ""Feature Engineering"", ""Data Engineering"", ""Computer Science"", ""Machine Learning"", ""Anomaly Detection""]","[""SQL (Programming Language)"", ""Python (Programming Language)"", ""Insurance Products"", ""Data Science"", ""Predictive Modeling"", ""Feature Engineering"", ""Data Engineering"", ""Computer Science"", ""Machine Learning"", ""Anomaly Detection""]",5415,
9367,Jr. Data Scientist,Blend,1,Data Scientists,Data Scientist,2026-06-02,Georgia,"Atlanta, GA, United States",Hybrid,Bachelor's degree,Associate's degree,,,80000.0,90000.0,85000.0,annual,"[""Python (Programming Language)"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Employee Assistance Programs"", ""A/B Testing"", ""Artificial Intelligence"", ""Customer Insights"", ""Customer Segmentation"", ""Marketing Effectiveness"", ""Data Management""]","[""Python (Programming Language)"", ""SQL (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Employee Assistance Programs"", ""A/B Testing"", ""Artificial Intelligence"", ""Customer Insights"", ""Customer Segmentation"", ""Marketing Effectiveness"", ""Data Management""]",5415,
9371,Senior HR Data & Reporting Analyst,Veolia Environnement SA,0,Management Analysts,Data Analyst,2026-06-02,Wisconsin,"Milwaukee, WI, United States",Unknown,Bachelor's degree,Associate's degree,5.0,,,,,"","[""Microsoft Excel"", ""Energy Management"", ""Data Reporting"", ""Business Requirements"", ""Project Schedules"", ""Report Writing"", ""Process Improvement"", ""Technical Projects"", ""Data Governance"", ""Industry Standards""]","[""Energy Management"", ""Business Requirements"", ""Project Schedules"", ""Process Improvement"", ""Technical Projects"", ""Data Governance"", ""Industry Standards""]",5415,
9399,Research Data Analyst,Insomniac Games,0,Data Scientists,Data Analyst,2026-06-02,Unspecified,"United States, Remote",Remote,Associate's degree,Associate's degree,3.0,5.0,124800.0,156000.0,140400.0,annual,"[""Power BI"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Microsoft Excel"", ""Research And Development"", ""User Research"", ""Data Reporting"", ""Systems Development"", ""Data Collection""]","[""Power BI"", ""SQL (Programming Language)"", ""Python (Programming Language)"", ""Tableau (Business Intelligence Software)"", ""Research And Development"", ""User Research"", ""Systems Development"", ""Data Collection""]",5415,
9602,"Senior Vice President, AI / Machine Learning Data Engineer",BNY External Career Site,0,Database Architects,Data Engineer,2026-06-02,New Jersey,"Jersey City, NJ, United States",Unknown,Bachelor's degree,Associate's degree,,,126000.0,126000.0,126000.0,annual,"[""Software Development"", ""Databricks"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Modeling"", ""Data Quality"", ""Workflow Automation"", ""Data Engineering"", ""Computer Science"", ""Financial Services""]","[""Software Development"", ""Databricks"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Modeling"", ""Data Quality"", ""Workflow Automation"", ""Data Engineering"", ""Computer Science"", ""Financial Services""]",5415,
10596,"Senior Vice President, AI / Machine Learning Data Engineer",Eofe.fa.us2.oraclecloud.com,0,Database Architects,Data Engineer,2026-06-02,New Jersey,"Jersey City, New Jersey",Unknown,Bachelor's degree,Associate's degree,,,,,,"","[""Software Development"", ""Databricks"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Modeling"", ""Data Quality"", ""Workflow Automation"", ""Data Engineering"", ""Computer Science"", ""Financial Services""]","[""Software Development"", ""Databricks"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Modeling"", ""Data Quality"", ""Workflow Automation"", ""Data Engineering"", ""Computer Science"", ""Financial Services""]",5415,
11107,Business Analyst,Credence,0,Management Analysts,Business Analyst,2026-06-02,Virginia,"McLean, Virginia",Unknown,Bachelor's degree,Associate's degree,,,,,,"","[""Software Development Life Cycle"", ""Scaled Agile Framework"", ""Digital Transformation"", ""Requirements Analysis"", ""System Requirements"", ""Business Requirements"", ""Knowledge Management"", ""Data Visualization"", ""Logistics"", ""Communication""]","[""Software Development Life Cycle"", ""Scaled Agile Framework"", ""Digital Transformation"", ""Requirements Analysis"", ""System Requirements"", ""Business Requirements"", ""Knowledge Management"", ""Data Visualization"", ""Logistics""]",5415,
